Abella de la Conca,Pallars Jussà,186
Abrera,Baix Llobregat,10244
Àger,Noguera,491
Agramunt,Urgell,5459
Aguilar de Segarra,Bages,250
Agullana,Alt Empordà,756
Aiguafreda,Vallès Oriental,2373
Aiguamúrcia,Alt Camp,797
Aiguatèbia i Talau,Conflent,46
Aiguaviva,Gironès,594
Aitona,Segrià,2370
Alàs i Cerc,Alt Urgell,404
Albanyà,Alt Empordà,137
Albatàrrec,Segrià,1519
Albesa,Noguera,1587
Albinyana,Baix Penedès,2140
Albons,Baix Empordà,620
Alcanar,Montsià,9620
Alcanó,Segrià,253
Alcarràs,Segrià,5970
Alcoletge,Segrià,2239
Alcover,Alt Camp,4500
Aldover,Baix Ebre,893
Alella,Maresme,9013
Alenyà,Rosselló,2318
Alfara de Carles,Baix Ebre,341
Alfarràs,Segrià,3274
Alfés,Segrià,321
Alforja,Baix Camp,1584
Algerri,Noguera,467
Alguaire,Segrià,3088
Alins,Pallars Sobirà,251
Alió,Alt Camp,376
Almacelles,Segrià,6088
Almatret,Segrià,443
Almenar,Segrià,3576
Almoster,Baix Camp,1241
Alòs de Balaguer,Noguera,174
Alp,Cerdanya,1467
Alpens,Osona,307
Alpicat,Segrià,5362
Alt Àneu,Pallars Sobirà,457
Altafulla,Tarragonès,4274
Amer,Selva,2258
Amposta,Montsià,19142
Anglès,Selva,5211
Anglesola,Urgell,1303
Angostrina i Vilanova de les Escaldes,Cerdanya,1380
Arbeca,Garrigues,2512
Arboçols,Conflent,101
Arbolí,Baix Camp,105
Arbúcies,Selva,6232
Arenys de Mar,Maresme,14016
Arenys de Munt,Maresme,7721
Argelaguer,Garrotxa,418
Argelers,Rosselló,9869
Argençola,Anoia,209
Argentona,Maresme,11161
Arles,Vallespir,2700
Arnes,Terra Alta,510
Arres,Val d'Aran,61
Arsèguel,Alt Urgell,100
Artés,Bages,5072
Artesa de Lleida,Segrià,1451
Artesa de Segre,Noguera,3696
Ascó,Ribera d'Ebre,1602
Aspa,Segrià,269
Avià,Berguedà,2058
Avinyó,Bages,2122
Avinyonet de Puigventós,Alt Empordà,1241
Avinyonet del Penedès,Alt Penedès,1591
Badalona,Barcelonès,221520
Badia del Vallès,Vallès Occidental,14123
Bagà,Berguedà,2178
Bages de Rosselló,Rosselló,3328
Baix Pallars,Pallars Sobirà,381
Baixàs,Rosselló,2217
Balaguer,Noguera,15769
Balenyà,Osona,3479
Balsareny,Bages,3310
Banyeres del Penedès,Baix Penedès,2557
Banyoles,Pla de l'Estany,17309
Banyuls de la Marenda,Rosselló,4532
Banyuls dels Aspres,Rosselló,1007
Baó,Rosselló,2874
Barbens,Pla d'Urgell,828
Barberà de la Conca,Conca de Barberà,503
Barberà del Vallès,Vallès Occidental,28633
Barcelona,Barcelonès,1605602
Bàscara,Alt Empordà,900
Bassella,Alt Urgell,256
Batea,Terra Alta,2106
Bausen,Val d'Aran,52
Begues,Baix Llobregat,5699
Begur,Baix Empordà,4076
Belianes,Urgell,592
Bell-lloc d'Urgell,Pla d'Urgell,2326
Bellaguarda,Garrigues,352
Bellcaire d'Empordà,Baix Empordà,672
Bellcaire d'Urgell,Noguera,1295
Bellmunt d'Urgell,Noguera,225
Bellmunt del Priorat,Priorat,324
Bellprat,Anoia,99
Bellpuig,Urgell,4454
Bellvei,Baix Penedès,1748
Bellver de Cerdanya,Cerdanya,1906
Bellvís,Pla d'Urgell,2360
Benavent de Segrià,Segrià,1249
Benifallet,Baix Ebre,790
Benissanet,Ribera d'Ebre,1205
Berga,Berguedà,16457
Besalú,Garrotxa,2257
Bescanó,Gironès,3859
Beuda,Garrotxa,164
Bigues i Riells,Vallès Oriental,7564
Biosca,Segarra,228
Biure,Alt Empordà,236
Blancafort,Conca de Barberà,414
Blanes,Selva,37819
Boadella i les Escaules,Alt Empordà,230
Bolquera,Cerdanya,1613
Bolvir,Cerdanya,295
Bompàs,Rosselló,6944
Bonastre,Baix Penedès,534
Bordils,Gironès,1554
Borrassà,Alt Empordà,614
Borredà,Berguedà,530
Bossòst,Val d'Aran,1043
Bot,Terra Alta,736
Botarell,Baix Camp,963
Bovera,Garrigues,371
Bràfim,Alt Camp,650
Breda,Selva,3685
Brullà,Rosselló,918
Brunyola,Selva,362
Bula d'Amunt,Rosselló,56
Bulaternera,Rosselló,643
Cabacés,Priorat,342
Cabanabona,Noguera,115
Cabanelles,Alt Empordà,240
Cabanes,Alt Empordà,917
Cabestany,Rosselló,8230
Cabó,Alt Urgell,104
Cabra del Camp,Alt Camp,944
Cabrera d'Anoia,Anoia,1059
Cabrera de Mar,Maresme,4174
Cabrils,Maresme,6536
Cadaqués,Alt Empordà,2922
Calaf,Anoia,3352
Calafell,Baix Penedès,20521
Calce,Rosselló,214
Calders,Bages,833
Caldes d'Estrac,Maresme,2607
Caldes de Malavella,Selva,5674
Caldes de Montbui,Vallès Oriental,15941
Calella,Maresme,17673
Calldetenes,Osona,2214
Callús,Bages,1577
Calmella,Rosselló,57
Calonge,Baix Empordà,9458
Calonge de Segarra,Anoia,205
Camarasa,Noguera,931
Camarles,Baix Ebre,3371
Cambrils,Baix Camp,27848
Cameles,Rosselló,437
Camós,Pla de l'Estany,677
Campdevànol,Ripollès,3499
Campelles,Ripollès,106
Campins,Vallès Oriental,363
Campllong,Gironès,381
Campome,Conflent,106
Camprodon,Ripollès,2438
Canavelles,Conflent,58
Canejan,Val d'Aran,104
Canet d'Adri,Gironès,576
Canet de Mar,Maresme,12766
Canet de Rosselló,Rosselló,11351
Cànoes,Rosselló,4342
Canovelles,Vallès Oriental,15012
Cànoves i Samalús,Vallès Oriental,2490
Cantallops,Alt Empordà,287
Canyelles,Garraf,3440
Capafonts,Baix Camp,114
Capçanes,Priorat,408
Capellades,Anoia,5383
Capmany,Alt Empordà,494
Capolat,Berguedà,72
Cardedeu,Vallès Oriental,15561
Cardona,Bages,5226
Carme,Anoia,752
Casafabre,Rosselló,34
Caseres,Terra Alta,311
Cassà de la Selva,Gironès,8780
Casserres,Berguedà,1586
Castell de l'Areny,Berguedà,68
Castell de Mur,Pallars Jussà,163
Castell de Vernet,Conflent,130
Castell-Platja d'Aro,Baix Empordà,9768
Castellar de la Ribera,Solsonès,162
Castellar de n'Hug,Berguedà,198
Castellar del Riu,Berguedà,148
Castellar del Vallès,Vallès Occidental,21335
Castellbell i el Vilar,Bages,3369
Castellbisbal,Vallès Occidental,11272
Castellcir,Vallès Oriental,575
Castelldans,Garrigues,1004
Castelldefels,Baix Llobregat,58663
Castellet i la Gornal,Alt Penedès,1919
Castellfollit de la Roca,Garrotxa,993
Castellfollit de Riubregós,Anoia,201
Castellfollit del Boix,Bages,407
Castellgalí,Bages,1436
Castellnou de Bages,Bages,837
Castellnou de Seana,Pla d'Urgell,750
Castellnou dels Aspres,Rosselló,373
Castelló d'Empúries,Alt Empordà,10021
Castelló de Farfanya,Noguera,564
Castellolí,Anoia,460
Castellserà,Urgell,1128
Castellterçol,Vallès Oriental,2202
Castellvell del Camp,Baix Camp,2474
Castellví de la Marca,Alt Penedès,1603
Castellví de Rosanes,Baix Llobregat,1505
Catllà de Conflent,Conflent,687
Cauders de Conflent,Conflent,6
Cava (Alt Urgell),Alt Urgell,56
Celrà,Gironès,3783
Censà,Conflent,17
Centelles,Osona,6671
Cercs,Berguedà,1333
Cerdanyola del Vallès,Vallès Occidental,57959
Ceret,Vallespir,7568
Cervelló,Baix Llobregat,7674
Cervera,Segarra,9305
Cervera de la Marenda,Rosselló,1551
Cervià de les Garrigues,Garrigues,873
Cervià de Ter,Gironès,827
Cistella,Alt Empordà,232
Ciutadilla,Urgell,223
Clairà,Rosselló,2625
Clarà i Villerac,Conflent,226
Clariana de Cardener,Solsonès,146
Codalet,Conflent,387
Colera,Alt Empordà,601
Coll de Nargó,Alt Urgell,618
Collbató,Baix Llobregat,3576
Colldejou,Baix Camp,190
Collsuspina,Osona,316
Colomers,Baix Empordà,213
Conat,Conflent,45
Conca de Dalt,Pallars Jussà,428
Conesa,Conca de Barberà,141
Constantí,Tarragonès,5813
Copons,Anoia,289
Corbera d'Ebre,Terra Alta,1128
Corbera de les Cabanes,Rosselló,844
Corbera de Llobregat,Baix Llobregat,12805
Corbera del Castell,Rosselló,591
Corbins,Segrià,1347
Corçà,Baix Empordà,1261
Cornellà de Conflent,Conflent,451
Cornellà de la Ribera,Rosselló,1407
Cornellà de Llobregat,Baix Llobregat,84289
Cornellà del Bèrcol,Rosselló,1938
Cornellà del Terri,Pla de l'Estany,2079
Cornudella de Montsant,Priorat,979
Cortsaví,Vallespir,198
Costoja,Vallespir,134
Cotlliure,Rosselló,2944
Creixell,Tarragonès,2758
Crespià,Pla de l'Estany,242
"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,1271
Cubelles,Garraf,11835
Cubells,Noguera,401
